candidate_id,name,current_title,experience_years,skills,projects,technical_domains,current_company,company_type,location,github_url,portfolio_url,last_login,profile_updated_at,recruiter_response_rate,notice_period,relocation_preference,open_to_work,_profile_type
C1014,Candidate C1014,ML Researcher,3,dense retrieval|embeddings|Kubernetes|MAP|Python|hybrid retrieval|OpenAI API|LLM chains|RAG|Linux|pandas|GCP,Designed hybrid retrieval pipeline combining sparse and dense embeddings|Built LangGraph agent for automated research|Time series forecasting with LSTM,speech|audio,Cognizant,service,Chennai,,https://portfolio.dev/c1014,2026-05-24,2026-06-07,0.37,15,no,True,weak
C1015,Candidate C1015,Research Scientist,8,BM25|sentence-transformers|Linux|Redis|Kafka|AWS|MongoDB|Azure,Image classification with ResNet|Time series forecasting with LSTM|Text summarisation with BART,NLP|text classification,Microsoft Research India,research,Remote,,,2026-05-04,2026-06-05,0.73,45,maybe,True,research
C1016,Candidate C1016,Data Scientist,3,re-ranking|PostgreSQL|PyTorch|scikit-learn|MAP|ChatGPT|AutoGPT|LangGraph|GPT-4|GCP|Git|AWS|Kafka|MongoDB|Keras,Migrated BM25 search to dense retrieval; 35% improvement in recall@10|Created AI assistant using OpenAI function calling|Created GPT-4 powered Q&A system using LlamaIndex,search|information retrieval,HCL,service,Hyderabad,https://github.com/candidate_c1016,,2026-04-04,2026-06-17,0.82,15,yes,True,medium
C1017,Candidate C1017,AI Developer,2,Weaviate|GPT-4|OpenAI API|LangChain|Pinecone|AutoGPT|prompt engineering|ChatGPT|RAG|REST APIs|Spark|NumPy,Built document QA system with Pinecone vector store|Created GPT-4 powered Q&A system using LlamaIndex,ranking|search|NLP,HCL,service,Remote,,,2026-06-10,2026-05-29,0.94,60,no,False,trap
C1018,Candidate C1018,Generative AI Specialist,9,learning-to-rank|NDCG|search relevance|ranking evaluation|scikit-learn|AutoGPT|prompt engineering|ChatGPT|Kafka|NumPy|REST APIs|TensorFlow,"Implemented offline evaluation benchmark for ranking: NDCG, MRR, MAP|Built document QA system with Pinecone vector store|Deployed LangChain pipeline for PDF summarisation",LLM applications|RAG,Slintel,product,Mumbai,,,2026-04-02,2026-05-05,0.65,15,yes,True,medium
C1019,Candidate C1019,Search Engineer,6,sparse retrieval|FAISS|Elasticsearch|dense retrieval|search relevance|AutoGPT|matplotlib|SQL|GCP|AWS|Keras|Azure,Owned A/B testing infrastructure for ranking experiments at scale|Named entity recognition model using spaCy|Text summarisation with BART,CV|robotics,Capgemini,service,Noida,,,2026-04-27,2026-05-31,0.17,45,no,True,weak
C1020,Candidate C1020,AI Developer,3,LangChain|Weaviate|LLM chains|LangGraph|AutoGPT|Pinecone|ChromaDB|GPT-4|ChatGPT|LlamaIndex|REST APIs|Kafka,Fine-tuned LLM using LoRA for customer support chatbot|Created GPT-4 powered Q&A system using LlamaIndex|Built document QA system with Pinecone vector store,LLM applications|RAG,Wipro,service,Kolkata,,,2026-06-21,2026-05-14,0.87,30,no,True,trap
C1021,Candidate C1021,Generative AI Specialist,2,LangChain|GPT-4|LlamaIndex|AutoGPT|OpenAI API|LangGraph|Pinecone|ChatGPT|LLM chains|Weaviate|ChromaDB|prompt engineering|GCP|Linux|Keras,Fine-tuned LLM using LoRA for customer support chatbot|Built RAG chatbot using LangChain and OpenAI,CV|robotics,TCS,service,Bangalore,,,2026-07-01,2026-05-03,0.5,90,no,False,trap
C1022,Candidate C1022,Staff ML Engineer,9,embeddings|PyTorch|re-ranking|hybrid retrieval|ChromaDB|TensorFlow|Git|Kafka|MongoDB|GCP|SQL,Owned A/B testing infrastructure for ranking experiments at scale|Sentiment analysis classifier for product reviews|Created GPT-4 powered Q&A system using LlamaIndex,generative AI|LLMs,Infosys,service,Pune,,,2026-03-22,2026-05-22,0.88,45,maybe,True,medium
C1023,Candidate C1023,ML Researcher,6,vector search|sentence-transformers|BM25|Python|Kafka|NumPy|Linux|Keras,Text summarisation with BART|Image classification with ResNet|Named entity recognition model using spaCy,retrieval|ranking|recommendation|NLP,IBM Research,research,Remote,,,2026-02-16,2026-05-08,0.51,45,yes,True,research
C1024,Candidate C1024,ML Researcher,9,FAISS|Python|BM25|sentence-transformers|matplotlib|Spark|TensorFlow|Jupyter|MongoDB|NumPy|pandas,Sentiment analysis classifier for product reviews|Text summarisation with BART|Named entity recognition model using spaCy,search|information retrieval,Adobe Research,research,Bangalore,,,2026-03-11,2026-05-18,0.46,90,maybe,True,research
C1025,Candidate C1025,Backend + ML Engineer,8,NDCG|MRR|ranking evaluation|hybrid retrieval|A/B testing|ChromaDB|Pinecone|Azure|Jupyter|TensorFlow|Spark,"Implemented offline evaluation benchmark for ranking: NDCG, MRR, MAP|Text summarisation with BART|Time series forecasting with LSTM",speech|audio,Accenture,service,Chennai,,,2026-01-21,2026-06-13,0.94,15,no,True,medium
C1026,Candidate C1026,Generative AI Specialist,3,LlamaIndex|OpenAI API|LangGraph|ChatGPT|Pinecone|LangChain|RAG|AutoGPT|matplotlib|NumPy|GCP,Built RAG chatbot using LangChain and OpenAI|Fine-tuned LLM using LoRA for customer support chatbot,ranking|search|NLP,Infosys,service,Noida,https://github.com/candidate_c1026,,2026-06-28,2026-05-10,0.34,45,yes,True,trap
C1027,Candidate C1027,Research Scientist,4,vector search|BM25|FAISS|sentence-transformers|NumPy|Jupyter|AWS|pandas|Redis|Azure|matplotlib,Text summarisation with BART|Sentiment analysis classifier for product reviews,search|information retrieval,Adobe Research,research,Remote,https://github.com/candidate_c1027,https://portfolio.dev/c1027,2026-01-13,2026-06-18,0.47,0,yes,True,research
C1028,Candidate C1028,Research Scientist,8,FAISS|ranking evaluation|MRR|production ML|A/B testing|learning-to-rank|sentence-transformers|search relevance|NDCG|Elasticsearch|Linux|Spark|MongoDB|Git|AWS|pandas,Built semantic search system for product discovery using FAISS and sentence-transformers|Deployed learning-to-rank model for marketplace search; 18% lift in CTR,recommendation systems,Slintel,product,Gurgaon,https://github.com/candidate_c1028,https://portfolio.dev/c1028,2026-06-12,2026-05-15,0.84,30,no,True,strong
C1029,Candidate C1029,Backend + ML Engineer,5,PyTorch|FAISS|LlamaIndex|ChromaDB|LLM chains|RAG|Git|Spark|MongoDB,Migrated BM25 search to dense retrieval; 35% improvement in recall@10|Time series forecasting with LSTM|Built RAG chatbot using LangChain and OpenAI,recommendation systems,Sprinklr,product,Gurgaon,,,2026-01-26,2026-06-29,0.8,15,no,False,medium
C1030,Candidate C1030,AI Developer,8,semantic search|sparse retrieval|MAP|embeddings|hybrid retrieval|ChromaDB|Weaviate|Redis|Keras|pandas|matplotlib|Kafka|SQL,Re-ranked search results using cross-encoder model; improved MRR by 22%|Created GPT-4 powered Q&A system using LlamaIndex|Created AI assistant using OpenAI function calling,recommendation systems,Sprinklr,product,Pune,,,2026-04-01,2026-06-24,0.93,45,maybe,True,medium
C1031,Candidate C1031,Backend + ML Engineer,4,scikit-learn|learning-to-rank|search relevance|FAISS|Elasticsearch|prompt engineering|OpenAI API|RAG|matplotlib|Linux|SQL|MongoDB|Redis|Jupyter,Deployed learning-to-rank model for marketplace search; 18% lift in CTR|Deployed LangChain pipeline for PDF summarisation|Named entity recognition model using spaCy,retrieval|ranking|recommendation|NLP,LTIMindtree,service,Kolkata,,,2026-02-01,2026-06-05,0.36,0,no,True,medium
C1032,Candidate C1032,ML Researcher,6,FAISS|hybrid retrieval|BM25|Azure|AWS|pandas|REST APIs|matplotlib|Jupyter|GCP,Sentiment analysis classifier for product reviews|Time series forecasting with LSTM|Image classification with ResNet,recommendation systems,IBM Research,research,Gurgaon,,,2026-01-23,2026-05-25,0.95,45,yes,False,research
C1033,Candidate C1033,Search Engineer,7,production ML|ranking evaluation|PostgreSQL|GPT-4|Weaviate|LangChain|ChromaDB|Keras|Jupyter|MongoDB|matplotlib|NumPy|Git,Re-ranked search results using cross-encoder model; improved MRR by 22%|Built RAG chatbot using LangChain and OpenAI|Fine-tuned LLM using LoRA for customer support chatbot,speech|audio,Haptik,product,Chennai,https://github.com/candidate_c1033,https://portfolio.dev/c1033,2026-01-22,2026-06-10,0.87,45,yes,False,medium
C1034,Candidate C1034,ML Researcher,5,BM25|hybrid retrieval|Python|FAISS|MongoDB|matplotlib|pandas|Kafka|SQL|Redis|REST APIs,Time series forecasting with LSTM|Named entity recognition model using spaCy,computer vision|NLP,Microsoft Research India,research,Chennai,https://github.com/candidate_c1034,,2026-03-03,2026-06-25,0.79,90,yes,False,research
C1035,Candidate C1035,ML Researcher,7,semantic search|sparse retrieval|vector search|ranking evaluation|Docker|search relevance|PostgreSQL|BM25|PyTorch|Kubernetes|Keras|Spark|matplotlib,Deployed learning-to-rank model for marketplace search; 18% lift in CTR|Built and productionised candidate ranking API using FastAPI and vector search|Re-ranked search results using cross-encoder model; improved MRR by 22%|Designed hybrid retrieval pipeline combining sparse and dense embeddings,recommendation systems,Meesho,product,Delhi,https://github.com/candidate_c1035,,2026-06-17,2026-06-15,0.73,45,no,True,strong
C1036,Candidate C1036,ML Researcher,6,FAISS|hybrid retrieval|vector search|Spark|Keras|Redis|GCP,Time series forecasting with LSTM|Sentiment analysis classifier for product reviews|Text summarisation with BART,generative AI|LLMs,Microsoft Research India,research,Gurgaon,,,2026-04-13,2026-07-01,0.67,90,maybe,True,research
C1037,Candidate C1037,Generative AI Specialist,4,GPT-4|LLM chains|RAG|OpenAI API|Pinecone|LangChain|LlamaIndex|AutoGPT|ChatGPT|Weaviate|ChromaDB|Git|Redis,Created AI assistant using OpenAI function calling|Built document QA system with Pinecone vector store|Created GPT-4 powered Q&A system using LlamaIndex,search|information retrieval,Capgemini,service,Hyderabad,,,2026-06-27,2026-05-12,0.65,30,maybe,True,trap
C1038,Candidate C1038,AI Developer,5,Pinecone|OpenAI API|GPT-4|Weaviate|prompt engineering|ChromaDB|LangChain|LangGraph|LLM chains|Linux|NumPy|GCP,Created AI assistant using OpenAI function calling|Built LangGraph agent for automated research|Fine-tuned LLM using LoRA for customer support chatbot|Built document QA system with Pinecone vector store,LLM applications|RAG,Capgemini,service,Pune,,,2026-06-28,2026-05-19,0.45,0,maybe,True,trap
C1039,Candidate C1039,Generative AI Specialist,8,sparse retrieval|hybrid retrieval|vector search|FAISS|production ML|MRR|FastAPI|search relevance|PostgreSQL|ranking evaluation|A/B testing|Elasticsearch|Docker|pandas|AWS|NumPy|Azure|MongoDB,Re-ranked search results using cross-encoder model; improved MRR by 22%|Owned A/B testing infrastructure for ranking experiments at scale,recommendation systems,Sprinklr,product,Delhi,,https://portfolio.dev/c1039,2026-06-30,2026-05-18,0.54,45,no,True,strong
C1040,Candidate C1040,AI Developer,4,ChatGPT|Pinecone|LangGraph|GPT-4|LangChain|prompt engineering|Spark|AWS|Keras,Created GPT-4 powered Q&A system using LlamaIndex|Built RAG chatbot using LangChain and OpenAI|Deployed LangChain pipeline for PDF summarisation|Built LangGraph agent for automated research,CV|robotics,Cognizant,service,Hyderabad,,,2026-06-25,2026-05-10,0.87,30,yes,True,trap
C1041,Candidate C1041,Research Scientist,8,Python|sentence-transformers|MongoDB|SQL|Git|AWS|matplotlib,Image classification with ResNet|Sentiment analysis classifier for product reviews,computer vision|NLP,IIT Research Lab,research,Bangalore,,,2026-02-21,2026-06-03,0.81,60,maybe,True,research
C1042,Candidate C1042,ML Researcher,8,scikit-learn|Python|FAISS|FastAPI|dense retrieval|LangGraph|Pinecone|ChatGPT|AutoGPT|Git|MongoDB|Redis,Deployed learning-to-rank model for marketplace search; 18% lift in CTR|Created GPT-4 powered Q&A system using LlamaIndex|Fine-tuned LLM using LoRA for customer support chatbot,recommendation systems,Exotel,product,Delhi,,,2026-01-14,2026-05-22,0.68,90,no,False,medium
C1043,Candidate C1043,Search Engineer,7,A/B testing|Elasticsearch|sparse retrieval|learning-to-rank|ranking evaluation|re-ranking|ChatGPT|Weaviate|LlamaIndex|MongoDB|pandas|GCP,"Implemented offline evaluation benchmark for ranking: NDCG, MRR, MAP|Created AI assistant using OpenAI function calling|Fine-tuned LLM using LoRA for customer support chatbot",ranking|search|NLP,Groww,product,Pune,,,2026-06-05,2026-06-26,0.84,0,no,True,medium
C1044,Candidate C1044,Principal Engineer,5,embeddings|hybrid retrieval|sparse retrieval|semantic search|re-ranking|A/B testing|FAISS|MRR|PostgreSQL|production ML|Jupyter|Azure|Git,Re-ranked search results using cross-encoder model; improved MRR by 22%|Built and productionised candidate ranking API using FastAPI and vector search|Improved search relevance using hybrid BM25 + dense retrieval; evaluated with NDCG@10|Deployed learning-to-rank model for marketplace search; 18% lift in CTR,speech|audio,Moengage,product,Noida,,,2026-06-20,2026-06-24,0.8,60,yes,False,strong
C1045,Candidate C1045,LLM Engineer,2,RAG|LlamaIndex|AutoGPT|ChromaDB|LLM chains|LangChain|Pinecone|Keras|Git,Created AI assistant using OpenAI function calling|Built LangGraph agent for automated research,retrieval|ranking|recommendation|NLP,Cognizant,service,Bangalore,,,2026-06-29,2026-05-15,0.64,45,no,False,trap
C1046,Candidate C1046,Generative AI Specialist,2,LLM chains|LangChain|LangGraph|Pinecone|RAG|ChatGPT|ChromaDB|GPT-4|Weaviate|prompt engineering|AutoGPT|OpenAI API|Jupyter|Linux,Built document QA system with Pinecone vector store|Built RAG chatbot using LangChain and OpenAI|Fine-tuned LLM using LoRA for customer support chatbot,CV|robotics,Wipro,service,Mumbai,,https://portfolio.dev/c1046,2026-06-16,2026-05-29,0.73,0,yes,False,trap
C1047,Candidate C1047,ML Researcher,4,MAP|hybrid retrieval|Python|FastAPI|OpenAI API|AutoGPT|Weaviate|prompt engineering|Jupyter|TensorFlow|REST APIs|Azure,Built semantic search system for product discovery using FAISS and sentence-transformers|Built LangGraph agent for automated research|Built RAG chatbot using LangChain and OpenAI,ranking|search|NLP,Wipro,service,Delhi,,,2026-06-03,2026-05-07,0.19,45,maybe,False,weak
C1048,Candidate C1048,AI Engineer,5,production ML|semantic search|sentence-transformers|sparse retrieval|hybrid retrieval|ranking evaluation|re-ranking|PostgreSQL|dense retrieval|Docker|A/B testing|Redis|MongoDB|Linux|GCP|Keras|Git,Built recommendation engine for e-commerce using collaborative + content-based filtering|Improved search relevance using hybrid BM25 + dense retrieval; evaluated with NDCG@10,speech|audio,CRED,product,Kolkata,https://github.com/candidate_c1048,https://portfolio.dev/c1048,2026-06-15,2026-06-19,0.89,30,no,True,strong
C1049,Candidate C1049,Applied AI Engineer,7,learning-to-rank|search relevance|PostgreSQL|embeddings|scikit-learn|LangGraph|ChromaDB|OpenAI API|Git|matplotlib|Spark|MongoDB|AWS|Keras,Migrated BM25 search to dense retrieval; 35% improvement in recall@10|Built RAG chatbot using LangChain and OpenAI|Created AI assistant using OpenAI function calling,speech|audio,TCS,service,Mumbai,,https://portfolio.dev/c1049,2026-06-04,2026-06-12,0.24,0,yes,True,weak
C1050,Candidate C1050,ML Researcher,4,BM25|Python|hybrid retrieval|sentence-transformers|MongoDB|matplotlib|Kafka|Git|SQL,Sentiment analysis classifier for product reviews|Time series forecasting with LSTM|Image classification with ResNet,computer vision|NLP,IBM Research,research,Kolkata,,,2026-02-13,2026-05-21,0.41,15,maybe,False,research
C1051,Candidate C1051,AI Engineer,5,search relevance|MAP|embeddings|PyTorch|FAISS|Pinecone|ChromaDB|AutoGPT|Redis|Kafka|TensorFlow|pandas|MongoDB|Jupyter,Deployed learning-to-rank model for marketplace search; 18% lift in CTR|Created AI assistant using OpenAI function calling|Created GPT-4 powered Q&A system using LlamaIndex,CV|robotics,HCL,service,Remote,https://github.com/candidate_c1051,,2026-01-04,2026-06-22,0.9,30,maybe,False,medium
C1052,Candidate C1052,Search Engineer,9,vector search|embeddings|production ML|search relevance|Docker|sentence-transformers|sparse retrieval|A/B testing|semantic search|Python|Kubernetes|re-ranking|scikit-learn|hybrid retrieval|matplotlib|Azure|Linux|Git|pandas,"Implemented offline evaluation benchmark for ranking: NDCG, MRR, MAP|Improved search relevance using hybrid BM25 + dense retrieval; evaluated with NDCG@10",speech|audio,Haptik,product,Chennai,,,2026-06-07,2026-05-28,0.84,60,yes,True,strong
C1053,Candidate C1053,Applied AI Engineer,4,A/B testing|learning-to-rank|FAISS|ChromaDB|LangGraph|GPT-4|ChatGPT|NumPy|Spark|Kafka|Linux|AWS,Re-ranked search results using cross-encoder model; improved MRR by 22%|Built document QA system with Pinecone vector store|Created AI assistant using OpenAI function calling,CV|robotics,ShareChat,product,Kolkata,,,2026-03-02,2026-06-02,0.8,45,maybe,False,medium
C1054,Candidate C1054,AI Developer,3,ChromaDB|prompt engineering|Pinecone|LlamaIndex|LangGraph|RAG|LangChain|LLM chains|OpenAI API|GPT-4|ChatGPT|Weaviate|Git|Spark|pandas,Fine-tuned LLM using LoRA for customer support chatbot|Built RAG chatbot using LangChain and OpenAI|Built document QA system with Pinecone vector store,retrieval|ranking|recommendation|NLP,Infosys,service,Gurgaon,https://github.com/candidate_c1054,,2026-06-19,2026-05-30,0.54,45,yes,True,trap
C1055,Candidate C1055,Staff ML Engineer,10,FAISS|MRR|FastAPI|production ML|vector search|A/B testing|learning-to-rank|Python|sentence-transformers|Kafka|Azure|pandas,Built recommendation engine for e-commerce using collaborative + content-based filtering|Migrated BM25 search to dense retrieval; 35% improvement in recall@10,generative AI|LLMs,Dunzo,product,Mumbai,https://github.com/candidate_c1055,,2026-06-28,2026-05-13,0.49,30,yes,True,strong
C1056,Candidate C1056,ML Engineer,3,Python|scikit-learn|Docker|PostgreSQL|ranking evaluation|vector search|Weaviate|LangChain|LLM chains|Spark|pandas|Git|MongoDB|matplotlib,Improved search relevance using hybrid BM25 + dense retrieval; evaluated with NDCG@10|Named entity recognition model using spaCy|Created AI assistant using OpenAI function calling,computer vision|NLP,Sprinklr,product,Kolkata,,,2026-02-08,2026-05-28,0.63,60,maybe,True,medium
C1057,Candidate C1057,Data Scientist,5,semantic search|ranking evaluation|AutoGPT|AWS|REST APIs|GCP|Kafka|NumPy,Deployed learning-to-rank model for marketplace search; 18% lift in CTR|Image classification with ResNet|Sentiment analysis classifier for product reviews,ranking|search|NLP,Meesho,product,Chennai,https://github.com/candidate_c1057,,2026-01-12,2026-06-20,0.83,0,maybe,False,medium
C1058,Candidate C1058,AI Developer,2,prompt engineering|ChatGPT|RAG|LangChain|GPT-4|LangGraph|OpenAI API|LLM chains|Weaviate|LlamaIndex|ChromaDB|Pinecone|Keras|NumPy|matplotlib,Fine-tuned LLM using LoRA for customer support chatbot|Created GPT-4 powered Q&A system using LlamaIndex|Built document QA system with Pinecone vector store,ranking|search|NLP,LTIMindtree,service,Remote,https://github.com/candidate_c1058,,2026-06-20,2026-05-03,0.82,30,yes,False,trap
C1059,Candidate C1059,Generative AI Specialist,4,RAG|AutoGPT|ChatGPT|LLM chains|Weaviate|OpenAI API|ChromaDB|GPT-4|LangGraph|prompt engineering|LangChain|TensorFlow|pandas|AWS|MongoDB,Built RAG chatbot using LangChain and OpenAI|Created AI assistant using OpenAI function calling,generative AI|LLMs,TCS,service,Chennai,https://github.com/candidate_c1059,,2026-06-20,2026-05-30,0.82,90,yes,True,trap
C1060,Candidate C1060,Generative AI Specialist,2,Weaviate|LLM chains|LangChain|LlamaIndex|OpenAI API|ChatGPT|prompt engineering|AutoGPT|Git|AWS|Kafka,Built document QA system with Pinecone vector store|Fine-tuned LLM using LoRA for customer support chatbot|Created AI assistant using OpenAI function calling,search|information retrieval,HCL,service,Chennai,,https://portfolio.dev/c1060,2026-06-28,2026-06-30,0.78,45,maybe,False,trap
C1061,Candidate C1061,LLM Engineer,5,Pinecone|OpenAI API|AutoGPT|ChatGPT|LlamaIndex|LLM chains|LangChain|MongoDB|TensorFlow|matplotlib|REST APIs,Deployed LangChain pipeline for PDF summarisation|Fine-tuned LLM using LoRA for customer support chatbot|Created AI assistant using OpenAI function calling|Created GPT-4 powered Q&A system using LlamaIndex,NLP|text classification,Cognizant,service,Gurgaon,https://github.com/candidate_c1061,,2026-06-06,2026-06-08,0.63,0,yes,True,trap
C1062,Candidate C1062,AI Engineer,7,PyTorch|sentence-transformers|MRR|LlamaIndex|AutoGPT|ChatGPT|prompt engineering|pandas|Git|matplotlib|GCP|MongoDB|REST APIs,Re-ranked search results using cross-encoder model; improved MRR by 22%|Sentiment analysis classifier for product reviews|Image classification with ResNet,speech|audio,Haptik,product,Noida,,https://portfolio.dev/c1062,2026-03-26,2026-06-23,0.87,60,maybe,True,medium
C1063,Candidate C1063,Senior ML Engineer,9,MRR|BM25|MAP|ChromaDB|prompt engineering|Git|Kafka|Linux|MongoDB|matplotlib,"Implemented offline evaluation benchmark for ranking: NDCG, MRR, MAP|Fine-tuned LLM using LoRA for customer support chatbot|Image classification with ResNet",recommendation systems,Zepto,product,Noida,https://github.com/candidate_c1063,,2026-01-16,2026-05-28,0.36,90,yes,True,medium
C1064,Candidate C1064,Research Scientist,6,BM25|vector search|Azure|pandas|Redis|MongoDB|SQL|Spark,Time series forecasting with LSTM|Image classification with ResNet|Sentiment analysis classifier for product reviews,generative AI|LLMs,IIT Research Lab,research,Pune,,,2026-04-07,2026-06-02,0.35,0,yes,False,research
C1065,Candidate C1065,AI Engineer,4,vector search|search relevance|semantic search|Docker|Kubernetes|ChromaDB|NumPy|Linux|AWS|Spark,Built and productionised candidate ranking API using FastAPI and vector search|Fine-tuned LLM using LoRA for customer support chatbot|Created GPT-4 powered Q&A system using LlamaIndex,retrieval|ranking|recommendation|NLP,Capgemini,service,Chennai,,,2026-04-09,2026-06-07,0.36,45,yes,True,weak
C1066,Candidate C1066,Generative AI Specialist,3,ChatGPT|RAG|AutoGPT|LangChain|Pinecone|Weaviate|LlamaIndex|GPT-4|prompt engineering|TensorFlow|REST APIs,Fine-tuned LLM using LoRA for customer support chatbot|Built document QA system with Pinecone vector store,CV|robotics,Mphasis,service,Noida,,,2026-06-03,2026-05-09,0.73,45,no,True,trap
