rank,candidate_id,name,current_title,experience_years,location,company_type,final_score,fit_label,missionfit_score,production_ml_score,retrieval_ranking_score,evaluation_score,external_evidence_score,availability_score,risk_penalty,confidence_score,risk_level,notice_period_days,has_github,has_portfolio,is_hidden_gem,is_keyword_trap,short_reason,risk_summary,recommended_action
23,C0066,C0066,ML Backend Engineer,6,Hyderabad,product,44.4,Weak Match,28.6,100.0,0.0,20.0,37.2,66.0,-7,48.6,low,30,True,True,False,False,Strong candidate: production ML deployment evidence and active GitHub presence. Gap: no ranking evaluation experience.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
24,C0068,C0068,Data Platform Engineer,6,Ahmedabad,product,43.8,Weak Match,28.6,100.0,0.0,20.0,37.2,66.0,-7,48.7,low,30,True,True,False,False,Strong candidate: production ML deployment evidence and active GitHub presence. Gap: no ranking evaluation experience.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
25,C0062,C0062,Data Platform Engineer,8,Mumbai,product,43.3,Weak Match,28.6,100.0,0.0,20.0,37.2,66.0,-7,48.8,low,30,True,True,False,False,Strong candidate: production ML deployment evidence and active GitHub presence. Gap: no ranking evaluation experience.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
26,C0065,C0065,ML Backend Engineer,5,Delhi NCR,product,42.8,Weak Match,28.6,100.0,0.0,20.0,37.2,66.0,-7,48.9,low,30,True,True,False,False,Strong candidate: production ML deployment evidence and active GitHub presence. Gap: no ranking evaluation experience.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
27,C0060,C0060,ML Backend Engineer,8,Chennai,product,42.8,Weak Match,28.6,100.0,0.0,20.0,37.2,66.0,-7,48.9,low,30,True,True,False,False,Strong candidate: production ML deployment evidence and active GitHub presence. Gap: no ranking evaluation experience.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
28,C0063,C0063,ML Backend Engineer,7,Kolkata,product,42.8,Weak Match,28.6,100.0,0.0,20.0,37.2,66.0,-7,48.9,low,30,True,True,False,False,Strong candidate: production ML deployment evidence and active GitHub presence. Gap: no ranking evaluation experience.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
29,C0067,C0067,Data Platform Engineer,6,Ahmedabad,product,42.7,Weak Match,28.6,100.0,0.0,20.0,37.2,66.0,-7,48.9,low,30,True,True,False,False,Strong candidate: production ML deployment evidence and active GitHub presence. Gap: no ranking evaluation experience.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
30,C0058,C0058,ML Backend Engineer,8,Indore,product,42.6,Weak Match,28.6,100.0,0.0,20.0,37.2,66.0,-7,48.9,low,30,True,True,False,False,Strong candidate: production ML deployment evidence and active GitHub presence. Gap: no ranking evaluation experience.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
31,C0057,C0057,Senior Software Engineer,5,Chennai,product,42.5,Weak Match,28.6,100.0,0.0,20.0,37.2,66.0,-7,48.9,low,30,True,True,False,False,Strong candidate: production ML deployment evidence and active GitHub presence. Gap: no ranking evaluation experience.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
32,C0059,C0059,Data Platform Engineer,7,Hyderabad,product,42.4,Weak Match,28.6,100.0,0.0,20.0,37.2,66.0,-7,49.0,low,30,True,True,False,False,Strong candidate: production ML deployment evidence and active GitHub presence. Gap: no ranking evaluation experience.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
33,C0064,C0064,Data Platform Engineer,4,Chennai,product,41.3,Weak Match,20.6,100.0,0.0,20.0,37.2,66.0,-7,49.2,low,30,True,True,False,False,Strong candidate: production ML deployment evidence and active GitHub presence. Gap: no ranking evaluation experience.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
34,C0043,C0043,Applied Scientist,9,Jaipur,unknown,40.1,Weak Match,19.8,50.0,0.0,100.0,28.8,66.0,-6,47.7,low,30,True,True,False,False,Strong candidate: ranking evaluation metrics (NDCG/MRR) and active GitHub presence. Gap: no production ML deployment evidence.,,Reject — does not meet core requirements.
35,C0038,C0038,NLP Research Scientist,9,Mumbai,unknown,39.9,Weak Match,19.8,50.0,0.0,100.0,28.8,61.0,-6,47.8,low,30,True,True,False,False,Strong candidate: ranking evaluation metrics (NDCG/MRR) and active GitHub presence. Gap: no production ML deployment evidence.,,Reject — does not meet core requirements.
36,C0039,C0039,Research Engineer,7,Noida,unknown,39.5,Weak Match,19.8,50.0,0.0,100.0,28.8,61.0,-6,47.9,low,30,True,True,False,False,Strong candidate: ranking evaluation metrics (NDCG/MRR) and active GitHub presence. Gap: no production ML deployment evidence.,,Reject — does not meet core requirements.
37,C0044,C0044,Research Engineer,9,Bengaluru,unknown,39.1,Weak Match,19.8,50.0,0.0,100.0,28.8,61.0,-6,47.9,low,30,True,True,False,False,Strong candidate: ranking evaluation metrics (NDCG/MRR) and active GitHub presence. Gap: no production ML deployment evidence.,,Reject — does not meet core requirements.
38,C0037,C0037,Applied Scientist,8,Remote India,unknown,38.4,Weak Match,19.8,50.0,0.0,100.0,28.8,61.0,-6,48.1,low,30,True,True,False,False,Strong candidate: ranking evaluation metrics (NDCG/MRR) and active GitHub presence. Gap: no production ML deployment evidence.,,Reject — does not meet core requirements.
39,C0046,C0046,Applied Scientist,8,Bengaluru,unknown,38.4,Weak Match,19.8,50.0,0.0,100.0,28.8,61.0,-6,48.1,low,30,True,True,False,False,Strong candidate: ranking evaluation metrics (NDCG/MRR) and active GitHub presence. Gap: no production ML deployment evidence.,,Reject — does not meet core requirements.
40,C0041,C0041,NLP Research Scientist,10,Pune,unknown,37.0,Weak Match,19.8,50.0,0.0,100.0,28.8,61.0,-6,48.4,low,30,True,True,False,False,Strong candidate: ranking evaluation metrics (NDCG/MRR) and active GitHub presence. Gap: no production ML deployment evidence.,,Reject — does not meet core requirements.
41,C0014,C0014,Data Scientist - Personalization,6,Pune,unknown,36.8,Weak Match,19.6,50.0,40.0,20.0,28.8,66.0,-13,48.4,medium,30,True,True,False,True,Strong candidate: ranking / retrieval system experience and active GitHub presence. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
42,C0045,C0045,NLP Research Scientist,10,Remote India,unknown,36.7,Weak Match,19.8,50.0,0.0,100.0,28.8,61.0,-6,48.4,low,30,True,True,False,False,Strong candidate: ranking evaluation metrics (NDCG/MRR) and active GitHub presence. Gap: no production ML deployment evidence.,,Reject — does not meet core requirements.
43,C0040,C0040,Research Engineer,10,Kolkata,unknown,36.3,Weak Match,19.8,50.0,0.0,100.0,28.8,61.0,-6,48.5,low,30,True,True,False,False,Strong candidate: ranking evaluation metrics (NDCG/MRR) and active GitHub presence. Gap: no production ML deployment evidence.,,Reject — does not meet core requirements.
44,C0021,C0021,Data Scientist - Personalization,5,Noida,unknown,35.7,Weak Match,19.6,50.0,40.0,20.0,28.8,66.0,-13,48.6,medium,30,True,True,False,True,Strong candidate: ranking / retrieval system experience and active GitHub presence. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
45,C0016,C0016,Data Scientist - Personalization,7,Noida,unknown,35.4,Weak Match,19.6,50.0,40.0,20.0,28.8,66.0,-13,48.7,medium,30,True,True,False,True,Strong candidate: ranking / retrieval system experience and active GitHub presence. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
46,C0023,C0023,ML Engineer,5,Bengaluru,unknown,32.5,Weak Match,19.6,50.0,40.0,20.0,28.8,66.0,-13,49.3,medium,30,True,True,False,False,Strong candidate: ranking / retrieval system experience and active GitHub presence. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
47,C0018,C0018,ML Engineer,8,Delhi NCR,unknown,32.5,Weak Match,19.6,50.0,40.0,20.0,28.8,66.0,-13,49.3,medium,30,True,True,False,False,Strong candidate: ranking / retrieval system experience and active GitHub presence. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
48,C0024,C0024,Search Engineer,5,Noida,unknown,32.0,Weak Match,19.6,50.0,40.0,20.0,28.8,66.0,-13,49.4,medium,30,True,True,False,False,Strong candidate: ranking / retrieval system experience and active GitHub presence. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
49,C0013,C0013,Recommendation Systems Engineer,6,Chennai,unknown,31.3,Weak Match,19.6,50.0,40.0,20.0,28.8,66.0,-13,49.5,medium,30,True,True,False,False,Strong candidate: ranking / retrieval system experience and active GitHub presence. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
50,C0017,C0017,Recommendation Systems Engineer,6,Delhi NCR,unknown,31.3,Weak Match,19.6,50.0,40.0,20.0,28.8,66.0,-13,49.5,medium,30,True,True,False,False,Strong candidate: ranking / retrieval system experience and active GitHub presence. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
51,C0022,C0022,Search Engineer,9,Noida,unknown,31.2,Weak Match,19.6,50.0,40.0,20.0,28.8,66.0,-13,49.5,medium,30,True,True,False,False,Strong candidate: ranking / retrieval system experience and active GitHub presence. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
52,C0019,C0019,ML Engineer,8,Bengaluru,unknown,30.8,Weak Match,19.6,50.0,40.0,20.0,28.8,66.0,-13,49.6,medium,30,True,True,False,False,Strong candidate: ranking / retrieval system experience and active GitHub presence. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
53,C0015,C0015,Search Engineer,7,Noida,unknown,30.3,Weak Match,19.6,50.0,40.0,20.0,28.8,66.0,-13,49.7,medium,30,True,True,False,False,Strong candidate: ranking / retrieval system experience and active GitHub presence. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
54,C0020,C0020,Search Engineer,6,Mumbai,unknown,30.2,Weak Match,19.6,50.0,40.0,20.0,28.8,66.0,-13,49.7,medium,30,True,True,False,False,Strong candidate: ranking / retrieval system experience and active GitHub presence. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
55,C0051,C0051,AI Engineer,7,Bengaluru,unknown,23.6,Weak Match,15.0,50.0,0.0,20.0,24.7,66.0,-13,33.1,medium,30,True,True,False,False,Strong candidate: active GitHub presence and portfolio with case studies. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
56,C0086,C0086,Robotics Engineer,7,Ahmedabad,product,23.6,Weak Match,17.0,50.0,0.0,20.0,12.2,56.0,-7,31.1,low,30,True,True,False,False,Strong candidate: active GitHub presence and portfolio with case studies. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
57,C0082,C0082,Computer Vision Engineer,7,Noida,product,23.4,Weak Match,17.0,50.0,0.0,20.0,12.2,56.0,-7,31.1,low,30,True,True,False,False,Strong candidate: active GitHub presence and portfolio with case studies. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
58,C0081,C0081,Robotics Engineer,6,Bengaluru,product,23.0,Weak Match,17.0,50.0,0.0,20.0,16.3,56.0,-7,32.0,low,30,True,True,False,False,Strong candidate: active GitHub presence and portfolio with case studies. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
59,C0055,C0055,Senior Data Scientist,7,Mumbai,unknown,22.9,Weak Match,15.0,50.0,0.0,20.0,24.7,66.0,-13,33.0,medium,30,True,True,False,False,Strong candidate: active GitHub presence and portfolio with case studies. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
60,C0053,C0053,AI Engineer,9,Indore,unknown,22.8,Weak Match,15.0,50.0,0.0,20.0,24.7,66.0,-13,33.0,medium,30,True,True,False,False,Strong candidate: active GitHub presence and portfolio with case studies. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
61,C0050,C0050,AI Engineer,8,Kolkata,unknown,22.3,Weak Match,15.0,50.0,0.0,20.0,24.7,66.0,-13,32.9,medium,30,True,True,False,False,Strong candidate: active GitHub presence and portfolio with case studies. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
62,C0056,C0056,Analytics Lead,5,Indore,unknown,22.1,Weak Match,15.0,50.0,0.0,20.0,24.7,66.0,-13,32.8,medium,30,True,True,False,False,Strong candidate: active GitHub presence and portfolio with case studies. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
63,C0048,C0048,Analytics Lead,7,Pune,unknown,22.0,Weak Match,15.0,50.0,0.0,20.0,24.7,66.0,-13,32.8,medium,30,True,True,False,False,Strong candidate: active GitHub presence and portfolio with case studies. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
64,C0047,C0047,ML Consultant,7,Kolkata,unknown,21.6,Weak Match,15.0,50.0,0.0,20.0,24.7,66.0,-13,32.7,medium,30,True,True,False,False,Strong candidate: active GitHub presence and portfolio with case studies. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
65,C0049,C0049,ML Consultant,7,Pune,unknown,21.6,Weak Match,15.0,50.0,0.0,20.0,24.7,66.0,-13,32.7,medium,30,True,True,False,False,Strong candidate: active GitHub presence and portfolio with case studies. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
66,C0054,C0054,ML Consultant,6,Jaipur,unknown,21.6,Weak Match,15.0,50.0,0.0,20.0,24.7,66.0,-13,32.7,medium,30,True,True,False,False,Strong candidate: active GitHub presence and portfolio with case studies. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
67,C0033,C0033,Prompt Engineer,4,Remote India,unknown,21.0,Weak Match,8.2,20.0,40.0,20.0,12.2,61.0,-13,48.2,medium,30,True,True,False,False,Strong candidate: vector search / embedding expertise and active GitHub presence. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
68,C0052,C0052,ML Consultant,7,Indore,unknown,21.0,Weak Match,15.0,50.0,0.0,20.0,24.7,66.0,-13,32.6,medium,30,True,True,False,False,Strong candidate: active GitHub presence and portfolio with case studies. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
69,C0027,C0027,AI Automation Manager,3,Ahmedabad,unknown,20.8,Weak Match,8.2,20.0,40.0,20.0,12.2,61.0,-13,48.3,medium,30,True,True,False,False,Strong candidate: vector search / embedding expertise and active GitHub presence. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
70,C0029,C0029,Prompt Engineer,4,Hyderabad,unknown,20.4,Weak Match,8.2,20.0,40.0,20.0,12.2,61.0,-13,48.4,medium,30,True,True,False,False,Strong candidate: vector search / embedding expertise and active GitHub presence. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
71,C0028,C0028,Prompt Engineer,3,Delhi NCR,unknown,20.1,Weak Match,8.2,20.0,40.0,20.0,12.2,61.0,-13,48.4,medium,30,True,True,False,False,Strong candidate: vector search / embedding expertise and active GitHub presence. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
72,C0030,C0030,GenAI Specialist,4,Hyderabad,unknown,19.9,Weak Match,8.2,20.0,40.0,20.0,12.2,61.0,-13,48.5,medium,30,True,True,False,False,Strong candidate: vector search / embedding expertise and active GitHub presence. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
73,C0025,C0025,GenAI Specialist,3,Delhi NCR,unknown,19.8,Weak Match,8.2,20.0,40.0,20.0,12.2,61.0,-13,48.5,medium,30,True,True,False,False,Strong candidate: vector search / embedding expertise and active GitHub presence. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
74,C0034,C0034,Prompt Engineer,3,Hyderabad,unknown,19.4,Weak Match,8.2,20.0,40.0,20.0,12.2,61.0,-13,48.6,medium,30,True,True,False,False,Strong candidate: vector search / embedding expertise and active GitHub presence. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
75,C0031,C0031,AI Automation Manager,3,Noida,unknown,19.2,Weak Match,8.2,20.0,40.0,20.0,12.2,61.0,-13,48.6,medium,30,True,True,False,False,Strong candidate: vector search / embedding expertise and active GitHub presence. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
76,C0032,C0032,AI Automation Manager,2,Bengaluru,unknown,19.1,Weak Match,8.2,20.0,40.0,20.0,12.2,61.0,-13,48.6,medium,30,True,True,False,False,Strong candidate: vector search / embedding expertise and active GitHub presence. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
77,C0026,C0026,Prompt Engineer,2,Hyderabad,unknown,18.6,Weak Match,8.2,20.0,40.0,20.0,12.2,61.0,-13,48.7,medium,30,True,True,False,False,Strong candidate: vector search / embedding expertise and active GitHub presence. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
78,C0036,C0036,AI Automation Manager,1,Kolkata,unknown,18.2,Weak Match,8.2,20.0,40.0,20.0,12.2,61.0,-13,48.8,medium,30,True,True,False,False,Strong candidate: vector search / embedding expertise and active GitHub presence. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
79,C0035,C0035,Prompt Engineer,1,Jaipur,unknown,18.0,Weak Match,8.2,20.0,40.0,20.0,12.2,61.0,-13,48.8,medium,30,True,True,False,False,Strong candidate: vector search / embedding expertise and active GitHub presence. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
80,C0077,C0077,Computer Vision Engineer,3,Chennai,product,15.6,Weak Match,9.0,20.0,0.0,20.0,8.0,61.0,-7,31.8,low,30,True,True,False,False,Strong candidate: active GitHub presence and portfolio with case studies. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
81,C0087,C0087,Data Analyst,5,Delhi NCR,unknown,14.9,Weak Match,12.8,50.0,0.0,20.0,16.3,56.0,-13,33.1,medium,30,True,True,False,False,Strong candidate: active GitHub presence and portfolio with case studies. Gap: no production ML deployment evidence.,"Medium: No evidence of using ranking evaluation metrics (NDCG, MRR, A/B testing) in any project or role.",Reject — does not meet core requirements.
